vehicle,journey,prior_count,prior_dates,median_prior_l_per_100km,current_l_per_100km,difference_from_median_pct,start,km,fuel_l
AHMPUL0C13,250120220007,1,1,23.33333333333333,19.35483870967742,-17.050691244239612,2025-01-21T06:04:58,31.0,6.0
AHMPUL0C13,250120230010,1,1,23.214285714285715,19.642857142857142,-15.384615384615385,2025-01-21T07:34:19,28.0,5.5
AHMPUL0C13,250121010002,2,2,21.344086021505376,21.666666666666668,1.5113350125944613,2025-01-21T09:11:20,30.0,6.5
AHMPUL0C13,250310220011,3,2,21.666666666666668,21.666666666666668,0.0,2025-03-11T06:30:15,30.0,6.5
AHMPUL0C13,250311000001,2,2,21.42857142857143,18.96551724137931,-11.494252873563227,2025-03-11T08:20:04,29.0,5.5
AHMPUL0C13,250311020004,4,3,21.666666666666668,26.666666666666668,23.076923076923084,2025-03-11T10:43:44,30.0,8.0
AHMPUL0C13,250311060007,5,3,21.666666666666668,22.58064516129032,4.218362282878396,2025-03-11T14:17:44,31.0,7.0
AHMPUL0C13,250320220012,6,3,22.123655913978496,22.58064516129032,2.0656136087484622,2025-03-21T06:02:37,31.0,7.0
AHMPUL0C13,250320230014,3,3,19.642857142857142,19.642857142857142,0.0,2025-03-21T07:34:21,28.0,5.5
AHMPUL0C13,250321000002,7,4,22.58064516129032,19.35483870967742,-14.28571428571428,2025-03-21T08:53:36,31.0,6.0
AHMPUL0C13,250321030006,8,4,22.123655913978496,19.35483870967742,-12.515188335358452,2025-03-21T11:23:27,31.0,6.0
AHMPUL0C13,250321040007,4,4,19.642857142857142,21.428571428571427,9.090909090909083,2025-03-21T12:44:13,28.0,6.0
AHMPUL0C13,250330230001,9,4,21.666666666666668,22.58064516129032,4.218362282878396,2025-03-31T07:24:49,31.0,7.0
AHMPUL0C13,250520220015,10,5,22.123655913978496,20.0,-9.599027946537063,2025-05-21T06:40:10,30.0,6.0
AHMPUL0C13,250521000001,5,4,19.642857142857142,17.857142857142858,-9.090909090909083,2025-05-21T08:06:46,28.0,5.0
AHMPUL0C13,250521010002,11,6,21.666666666666668,19.35483870967742,-10.66997518610422,2025-05-21T09:16:36,31.0,6.0
AHMPUL0C13,250521030005,12,6,21.666666666666668,20.967741935483872,-3.2258064516129004,2025-05-21T11:58:11,31.0,6.5
AHMPUL0C13,250521050006,6,5,19.642857142857142,21.428571428571427,9.090909090909083,2025-05-21T13:18:08,28.0,6.0
AHMPUL0C13,250521060007,13,6,21.666666666666668,21.666666666666668,0.0,2025-05-21T14:29:19,30.0,6.5
AHMPUL0C13,250521070008,7,5,19.642857142857142,18.96551724137931,-3.4482758620689613,2025-05-21T15:56:20,29.0,5.5
AHMPUL0C13,250701010002,14,6,21.666666666666668,20.0,-7.692307692307699,2025-07-01T09:24:46,30.0,6.0
AHMPUL0C13,250701040006,15,7,21.666666666666668,22.58064516129032,4.218362282878396,2025-07-01T12:10:18,31.0,7.0
AHMPUL0C13,250701050007,8,5,19.642857142857142,17.857142857142858,-9.090909090909083,2025-07-01T13:58:49,28.0,5.0
AHMPUL0C13,250710210010,16,7,21.666666666666668,20.0,-7.692307692307699,2025-07-11T05:57:31,30.0,6.0
AHMPUL0C13,250710230012,9,6,19.642857142857142,18.96551724137931,-3.4482758620689613,2025-07-11T07:35:54,29.0,5.5
AHMPUL0C13,250711030005,17,8,21.666666666666668,20.967741935483872,-3.2258064516129004,2025-07-11T11:11:21,31.0,6.5
AHMPUL0C13,250711050006,10,7,19.304187192118228,19.642857142857142,1.754385964912264,2025-07-11T13:00:53,28.0,5.5
AHMPUL0C13,250711060008,9,7,21.666666666666668,19.444444444444446,-10.256410256410254,2025-07-11T14:44:08,36.0,7.0
AHMPUL0C13,250720210001,18,8,21.31720430107527,20.0,-6.179066834804548,2025-07-21T05:57:24,30.0,6.0
AHMPUL0C13,250720230003,11,7,19.642857142857142,17.24137931034483,-12.225705329153591,2025-07-21T07:34:50,29.0,5.0
AHMPUL0C13,250721010002,20,9,20.967741935483872,20.0,-4.615384615384621,2025-07-21T09:14:47,30.0,6.0
AHMPUL0C13,250721050007,20,9,20.967741935483872,20.0,-4.615384615384621,2025-07-21T13:08:37,30.0,6.0
AHMPUL0C13,250721060008,12,8,19.304187192118228,19.642857142857142,1.754385964912264,2025-07-21T14:55:05,28.0,5.5
AHMPUL0C13,250730220015,21,9,20.967741935483872,21.666666666666668,3.3333333333333437,2025-07-31T06:32:13,30.0,6.5
