cluster,events,days,vehicles,total_minutes,median_minutes,longitude,latitude
1393,21,6,1,2681.883333333333,53.0,121.495668,25.016749095238094
1579,45,20,1,993.7166666666667,17.25,120.49990617777779,22.661716622222222
1355,4,2,1,968.4,135.225,121.5368615,25.06785625
1472,38,16,2,954.7,19.25,120.3202197368421,23.213826657894735
350,32,4,2,898.4333333333333,10.941666666666666,121.3218144375,23.3560355
429,64,16,1,781.3333333333334,7.483333333333333,121.820952890625,24.628066140625
1262,41,17,1,695.7,9.65,120.65783529268292,24.012467463414634
944,69,21,1,608.8166666666667,8.133333333333333,121.44703440579711,25.179118782608697
958,49,17,1,599.9,9.083333333333334,121.45019142857143,25.102896591836735
819,28,20,1,580.5833333333334,20.15,121.43218017857143,25.187212285714285
506,30,13,1,505.4166666666667,14.058333333333334,121.58695850000001,23.9350326
40,30,14,1,477.53333333333336,9.508333333333333,120.72242356666668,24.284595966666664
111,41,16,1,470.0,6.75,120.67533839024391,24.273455170731708
774,5,4,1,447.3333333333333,80.8,121.26023119999999,25.106130999999998
337,8,3,2,446.35,24.341666666666665,121.5938815,23.967091375
1224,9,8,1,394.2,43.06666666666667,120.62863055555555,24.057701666666667
949,46,20,1,378.1166666666667,6.841666666666667,121.43834508695652,25.196906978260866
692,21,17,1,372.95,20.5,121.4467812857143,25.08911780952381
833,32,19,1,366.75,5.833333333333333,121.28289265625,25.08630765625
434,21,11,1,338.05,13.683333333333334,121.8151757142857,24.63634661904762
1280,3,3,2,309.2,44.766666666666666,120.75940966666667,24.565310666666665
712,34,17,1,285.15,8.041666666666666,121.44325705882353,25.086280411764704
1055,9,5,1,214.76666666666668,16.05,120.51019444444445,23.876841777777777
961,16,15,1,206.9,12.85,121.4496721875,25.0973356875
310,19,4,1,198.46666666666667,8.3,121.62336415789473,23.978044684210527
950,35,17,1,198.03333333333333,5.033333333333333,121.43856008571427,25.0828392
216,18,11,1,176.25,5.15,120.26554183333332,23.051185555555556
251,37,12,1,175.3,3.9833333333333334,120.5710335945946,23.982332513513516
695,17,17,1,166.1,9.666666666666666,121.43324464705881,25.089726352941177
864,25,18,1,162.95,6.616666666666666,121.43805920000001,25.190472800000002
1384,4,4,1,159.96666666666667,32.61666666666667,121.281826,24.60532
93,7,2,1,151.18333333333334,29.933333333333334,120.72412428571428,24.258795714285714
1247,6,4,1,147.35,23.125,120.61849216666667,24.112386
519,5,3,1,143.55,7.683333333333334,121.42368019999999,23.6675448
547,6,4,2,139.7,13.616666666666667,121.55672083333333,23.986285166666665
123,3,3,1,137.76666666666668,50.86666666666667,120.735209,24.25146266666667
1050,10,8,1,128.16666666666666,9.191666666666666,120.46414039999999,23.8989975
901,17,17,1,125.53333333333333,7.75,121.4422828235294,25.191584000000002
1212,5,2,1,124.08333333333333,15.333333333333334,120.61386259999999,24.142452
1007,17,10,1,124.06666666666666,4.333333333333333,120.26044047058824,23.05270682352941
236,4,3,1,123.85,10.925,120.5918005,24.001994749999998
952,16,16,1,101.78333333333333,6.816666666666666,121.4461956875,25.092961625
1141,6,4,2,95.43333333333334,11.133333333333333,121.6041285,23.989989166666664
528,4,3,1,86.91666666666667,23.008333333333333,121.317398,23.331172249999998
1344,6,5,1,81.91666666666667,6.666666666666667,121.23869433333333,24.68093383333333
1076,15,11,1,75.03333333333333,3.8333333333333335,120.69040673333333,24.083205799999998
479,3,3,1,70.63333333333334,20.4,121.60602833333333,24.019001333333335
1128,4,4,1,69.71666666666667,9.691666666666666,120.70985575,23.8997155
514,4,3,1,66.75,17.333333333333332,121.6017095,23.972993250000002
1236,8,6,1,60.833333333333336,5.291666666666667,120.6810495,23.923919625
1562,4,4,1,59.0,16.066666666666666,120.25160975,22.80235675
1591,3,3,1,56.833333333333336,10.133333333333333,120.240293,22.835638
66,3,2,1,56.65,17.433333333333334,120.746956,24.326069
1589,3,3,1,53.833333333333336,13.7,120.236384,22.86634666666667
1593,4,4,1,49.75,12.683333333333334,120.4878635,22.6518565
1516,4,4,1,49.083333333333336,12.833333333333334,120.555519,22.696552
176,5,4,1,46.46666666666667,4.883333333333334,120.5121766,24.1638116
1590,3,3,1,43.833333333333336,14.366666666666667,120.36472066666666,23.548446
1321,4,4,1,43.31666666666667,10.908333333333333,121.07380875,24.7791915
1471,3,3,1,42.35,15.183333333333334,120.24687966666666,23.35684466666667
987,4,3,1,40.61666666666667,8.875,120.25327300000001,23.05089825
1157,7,5,1,40.53333333333333,4.483333333333333,120.37694214285715,24.016922285714287
1001,3,3,1,40.4,17.85,120.19207,23.08104833333333
1310,3,3,2,40.11666666666667,7.85,121.19169366666667,24.799847333333332
541,3,3,1,39.7,5.533333333333333,121.31412766666666,23.334417000000002
86,3,2,1,39.666666666666664,8.45,120.70373266666667,24.323238000000003
