route_group,vehicle,trip_count,first_start,last_start,median_km,median_fuel_l,median_l_per_100km,validated_direct_pairs,possible_pairs,direct_pair_density,minimum_observed_coverage
AHMPUL0C13-R001,AHMPUL0C13,36,2025-01-11T08:37:09,2025-11-21T14:39:54,31.0,6.5,20.967741935483872,613,630,0.973015873015873,0.9012345679012346
AHMPUL0C13-R002,AHMPUL0C13,27,2025-01-11T10:07:29,2025-11-21T18:06:30,28.0,5.5,18.96551724137931,351,351,1.0,0.9295774647887324
DLM28P1JMF-R001,DLM28P1JMF,17,2025-01-31T14:25:05,2025-11-30T21:56:32,42.0,8.0,19.047619047619047,134,136,0.9852941176470589,0.9
DLM28P1JMF-R004,DLM28P1JMF,8,2025-03-31T18:37:26,2025-11-21T18:56:55,76.0,17.0,22.184210526315788,28,28,1.0,0.9064327485380116
DLM28P1JMF-R006,DLM28P1JMF,7,2025-05-11T01:17:59,2025-11-21T00:22:42,50.0,11.5,23.0,21,21,1.0,0.9466666666666668
DLM28P1JMF-R003,DLM28P1JMF,4,2025-03-31T01:10:52,2025-11-30T02:10:50,33.0,6.0,18.181818181818183,6,6,1.0,0.98
DLM28P1JMF-R005,DLM28P1JMF,4,2025-05-01T00:55:53,2025-09-01T01:47:08,40.0,7.75,19.835526315789473,4,6,0.6666666666666666,0.9191176470588236
DLM28P1JMF-R002,DLM28P1JMF,3,2025-03-01T01:24:44,2025-03-21T01:46:26,44.0,8.0,18.6046511627907,3,3,1.0,0.9290780141843972
HTLT0PUOFI-R001,HTLT0PUOFI,3,2025-01-11T14:33:33,2025-09-11T14:58:12,50.0,9.0,18.0,3,3,1.0,0.968
V9R0Z0ZLT0-R002,V9R0Z0ZLT0,3,2025-07-31T12:39:15,2025-09-30T11:34:10,31.0,11.5,37.096774193548384,3,3,1.0,0.9746835443037974
XYK9DYX172-R001,XYK9DYX172,3,2025-07-21T10:18:53,2025-09-11T10:31:47,93.5,14.5,15.508021390374331,2,3,0.6666666666666666,0.912280701754386
AHMPUL0C13-R003,AHMPUL0C13,2,2025-07-01T07:13:53,2025-09-01T07:33:03,90.5,17.0,18.782051282051285,1,1,1.0,0.9019607843137256
AHMPUL0C13-R004,AHMPUL0C13,2,2025-09-11T09:51:00,2025-11-21T09:47:54,26.0,5.25,20.1923076923077,1,1,1.0,1.0
B4TLK0X42N-R001,B4TLK0X42N,2,2025-07-31T17:58:22,2025-09-21T16:19:37,27.5,7.25,26.355820105820104,1,1,1.0,1.0
C1N6TWBTVB-R001,C1N6TWBTVB,2,2025-07-01T11:41:55,2025-07-31T11:31:30,26.75,8.0,29.907482460798832,1,1,1.0,1.0
C1N6TWBTVB-R002,C1N6TWBTVB,2,2025-07-01T17:21:19,2025-07-31T16:55:27,28.25,6.5,23.010651629072683,1,1,1.0,0.9615384615384616
DLM28P1JMF-R007,DLM28P1JMF,2,2025-09-11T01:29:16,2025-11-11T01:50:52,18.0,6.75,37.5,1,1,1.0,1.0
HTLT0PUOFI-R002,HTLT0PUOFI,2,2025-01-21T14:42:21,2025-09-01T12:23:33,53.5,13.0,24.291958041958043,1,1,1.0,0.9310344827586208
HTLT0PUOFI-R003,HTLT0PUOFI,2,2025-03-11T14:23:29,2025-03-31T13:16:46,36.5,7.5,20.5518018018018,1,1,1.0,0.9887640449438202
HTLT0PUOFI-R004,HTLT0PUOFI,2,2025-07-21T07:55:55,2025-11-11T07:44:23,41.0,7.0,17.073170731707318,1,1,1.0,0.9381443298969072
HTLT0PUOFI-R005,HTLT0PUOFI,2,2025-07-21T09:26:47,2025-07-31T14:01:43,24.5,5.25,21.458333333333332,1,1,1.0,0.9836065573770492
HTLT0PUOFI-R006,HTLT0PUOFI,2,2025-09-01T07:58:22,2025-09-21T04:55:15,56.0,11.25,20.089285714285715,1,1,1.0,0.9661016949152542
M78YOZ58I2-R001,M78YOZ58I2,2,2025-03-31T11:35:43,2025-05-21T12:41:31,50.5,7.5,14.835542464408444,1,1,1.0,0.9302325581395348
SGQ5MOWUGY-R001,SGQ5MOWUGY,2,2025-01-21T10:20:32,2025-03-11T09:50:49,58.849999999999454,7.75,13.156602847324608,1,1,1.0,0.9722222222222222
SGQ5MOWUGY-R002,SGQ5MOWUGY,2,2025-07-11T09:18:44,2025-09-30T10:11:50,55.49999999999818,7.0,12.604346259120053,1,1,1.0,0.9818181818181818
V9R0Z0ZLT0-R001,V9R0Z0ZLT0,2,2025-01-21T16:27:18,2025-09-01T15:50:41,14.5,5.75,39.76190476190475,1,1,1.0,1.0
V9R0Z0ZLT0-R003,V9R0Z0ZLT0,2,2025-07-31T13:35:06,2025-09-30T12:08:55,35.5,11.25,31.598883572567786,1,1,1.0,0.9813084112149532
XYK9DYX172-R002,XYK9DYX172,2,2025-07-31T07:32:11,2025-09-11T07:33:34,98.80000000000109,16.0,16.19254851822694,1,1,1.0,0.926605504587156
YP6LR2GGM2-R001,YP6LR2GGM2,2,2025-03-11T20:32:13,2025-11-01T18:19:57,71.0,22.75,31.81637519872814,1,1,1.0,0.979381443298969
ZNUKGJO57M-R001,ZNUKGJO57M,2,2025-01-01T14:05:29,2025-01-31T07:38:22,27.5,8.0,29.001322751322753,1,1,1.0,0.9272727272727272
ZNUKGJO57M-R002,ZNUKGJO57M,2,2025-07-11T12:06:41,2025-09-11T11:02:08,125.0,39.25,31.40360983102919,1,1,1.0,0.984375
ZNUKGJO57M-R003,ZNUKGJO57M,2,2025-07-21T13:35:09,2025-11-11T13:33:38,142.0,36.5,25.684931506849317,1,1,1.0,0.9383886255924172
